Player Name,Position,Matchup Light,Offense Light,Vegas Light
Brashard Smith,RB,RED,YELLOW,YELLOW
Adonai Mitchell,WR,YELLOW,YELLOW,YELLOW
Elic Ayomanor,WR,YELLOW,RED,RED
Joe Flacco,QB,GREEN,RED,RED
Russell Wilson,QB,GREEN,RED,RED
Dyami Brown,WR,YELLOW,YELLOW,YELLOW
Calvin Austin,WR,YELLOW,RED,YELLOW
Cole Kmet,TE,RED,RED,YELLOW
Elijah Arroyo,TE,GREEN,YELLOW,RED
Jalen Royals,WR,RED,YELLOW,YELLOW
Andrei Iosivas,WR,YELLOW,GREEN,YELLOW
Shedeur Sanders,QB,GREEN,RED,RED
Tyler Shough,QB,RED,GREEN,RED
Daniel Jones,QB,YELLOW,YELLOW,YELLOW
Woody Marks,RB,YELLOW,YELLOW,YELLOW
Theo Johnson,TE,YELLOW,RED,RED
Jalen Tolbert,WR,YELLOW,GREEN,GREEN
Jordan James,RB,GREEN,RED,YELLOW
Miles Sanders,RB,GREEN,RED,GREEN
Jalen Milroe,QB,RED,YELLOW,RED
Trevor Etienne,RB,YELLOW,YELLOW,RED
Tahj Brooks,RB,GREEN,YELLOW,GREEN
Jaleel McLaughlin,RB,YELLOW,YELLOW,YELLOW
Audric Estime,RB,YELLOW,YELLOW,YELLOW
Noah Gray,TE,RED,GREEN,YELLOW
Kendre Miller,RB,GREEN,YELLOW,RED
Ray-Ray McCloud,WR,GREEN,GREEN,YELLOW
Ollie Gordon II,RB,GREEN,YELLOW,YELLOW
Kyle Monangai,RB,RED,RED,YELLOW
Keaton Mitchell,RB,YELLOW,RED,YELLOW
Tutu Atwell,WR,RED,GREEN,YELLOW
Raheem Mostert,RB,YELLOW,YELLOW,GREEN
Savion Williams,WR,YELLOW,YELLOW,GREEN
Harold Fannin,TE,YELLOW,GREEN,RED
Tory Horton,WR,YELLOW,YELLOW,RED
Zack Moss,RB,GREEN,YELLOW,GREEN
Mike Williams,WR,RED,YELLOW,YELLOW
Xavier Restrepo,WR,YELLOW,RED,RED
Sean Tucker,RB,RED,GREEN,RED
Jahan Dotson,WR,RED,YELLOW,YELLOW
Ben Sinnott,TE,YELLOW,YELLOW,YELLOW
Javon Baker,WR,GREEN,YELLOW,RED
Diontae Johnson,WR,YELLOW,RED,RED
Troy Franklin,WR,YELLOW,GREEN,YELLOW
Johnny Wilson,WR,RED,YELLOW,YELLOW
Tyler Higbee,TE,RED,RED,YELLOW
K.J. Osborn,WR,RED,GREEN,YELLOW
Brenden Rice,WR,RED,YELLOW,YELLOW
Zamir White,RB,RED,YELLOW,YELLOW
Tyler Conklin,TE,GREEN,YELLOW,YELLOW
Jordan Whittington,WR,RED,GREEN,YELLOW
Ty Johnson,RB,YELLOW,GREEN,GREEN
Jonathon Brooks,RB,YELLOW,YELLOW,RED
Jermaine Burton,WR,GREEN,GREEN,GREEN
Brandin Cooks,WR,RED,RED,RED
Elijah Moore,WR,RED,YELLOW,GREEN
Curtis Samuel,WR,RED,YELLOW,GREEN
Ezekiel Elliott,RB,#N/A,#N/A,#N/A
Antonio Gibson,RB,YELLOW,RED,YELLOW
Christian Watson,WR,YELLOW,YELLOW,GREEN
Kirk Cousins,QB,RED,RED,YELLOW
Luke Musgrave,TE,YELLOW,YELLOW,GREEN
A.T. Perry,WR,GREEN,GREEN,GREEN
Xavier Hutchinson,WR,GREEN,YELLOW,YELLOW
Damien Martinez,RB,GREEN,GREEN,GREEN
Tahj Washington,WR,YELLOW,RED,YELLOW
Noah Fant,TE,GREEN,YELLOW,RED
Nathaniel Dell,WR,GREEN,YELLOW,YELLOW
Noah Brown,WR,RED,YELLOW,YELLOW
Ja'Lynn Polk,WR,RED,RED,YELLOW
