Player,Team,ADP
"Efton Chism III","NE",""
"Kayshon Boutte","NE","291"
"Roman Wilson","PIT","259"
"Xavier Restrepo","TEN","261"
"Troy Franklin","DEN","304"
"Matt Gay","WAS",""
"Diontae Johnson","CLE","263"
"Ty Johnson","BUF",""
"Tyler Higbee","LAR","302"
"Devin Singletary","NYG","294"
"Brandin Cooks","NO","269"
"Taysom Hill","NO","273"
"Luke McCaffrey","WAS",""
"Noah Fant","CIN","274"
"Jalen Nailor","MIN",""
"Cincinnati Bengals","DST",""
"Andrei Iosivas","CIN","288"
"Jordan Whittington","LAR","282"
"Oronde Gadsden II","LAC","283"
"Tre Tucker","LV",""
"Ben Sinnott","WAS","285"
"Christian Watson","GB","289"
"Jalen Tolbert","DAL","305"
"Tanner McKee","PHI",""
"Tutu Atwell","LAR","290"
"Cairo Santos","CHI",""
"Indianapolis Colts","DST","292"
"Las Vegas Raiders","DST","293"
"Devaughn Vele","DEN",""
"Daniel Carlson","LV","308"
"Jacksonville Jaguars","DST","296"
"Khalil Herbert","IND","297"
"New Orleans Saints","DST","298"
"Marquez Valdes-Scantling","SEA","299"
"Jermaine Burton","CIN",""
"Damien Martinez","SEA","301"
"Joshua Karty","LAR",""
"Kenneth Gainwell","PIT",""
"KeAndre Lambert-Smith","LAC",""
"Samaje Perine","CIN",""
"Will Reichard","MIN",""
"Cleveland Browns","DST",""
"Emanuel Wilson","GB",""
"Jake Moody","SF",""
"Dameon Pierce","HOU",""
"Kimani Vidal","LAC",""
"Elijah Moore","BUF",""
"Noah Brown","WAS",""
"Phil Mafah","DAL",""
"Atlanta Falcons","DST",""
"Isaiah Davis","NYJ",""
"Jaylin Lane","WAS",""
